Date,Time,Department ID,Abandonment Time (seconds)
03/07/2024,12:06:06,1,407
27/12/2023,17:20:21,1,161
21/10/2023,6:19:04,3,485
29/06/2024,10:27:39,4,496
07/08/2022,8:49:22,3,274
21/09/2022,10:29:34,1,134
11/07/2022,16:09:22,1,492
19/06/2022,12:45:44,3,556
30/04/2023,17:41:12,4,163
25/12/2022,13:37:50,4,534
11/09/2024,17:37:23,1,39
28/10/2023,17:07:24,1,564
17/04/2024,15:10:00,2,387
27/05/2024,13:03:20,1,152
05/02/2024,14:30:12,2,539
07/10/2024,16:24:47,1,256
01/11/2024,18:15:05,1,79
22/09/2023,13:04:07,3,29
09/08/2023,16:05:56,3,485
27/04/2022,9:53:06,3,253
29/02/2024,13:35:17,1,410
10/11/2022,12:44:06,3,325
30/04/2024,5:12:06,1,483
26/06/2024,13:27:11,2,459
09/04/2024,12:08:46,2,244
19/06/2024,11:05:59,3,542
01/09/2024,15:50:51,2,440
19/03/2024,8:58:28,3,498
16/07/2023,11:54:22,1,248
20/11/2023,16:21:32,1,426
24/01/2022,13:38:10,1,275
04/02/2024,19:54:26,2,170
01/06/2024,15:13:30,1,521
21/06/2023,14:49:34,1,367
07/10/2023,15:37:52,3,438
16/12/2024,13:00:10,1,160
25/09/2022,13:46:55,1,426
23/01/2023,14:13:37,2,314
20/08/2022,6:20:47,2,568
13/10/2023,16:36:07,1,457
06/11/2022,16:59:57,1,457
19/08/2024,17:22:17,1,392
14/03/2022,8:03:56,2,214
16/10/2022,5:51:43,4,164
18/02/2023,10:35:49,4,217
24/10/2022,9:44:23,2,253
04/04/2022,14:08:00,1,333
20/08/2023,20:17:43,4,437
03/03/2024,7:59:02,4,257
22/06/2024,15:15:44,2,110
22/11/2024,12:51:25,3,58
12/06/2023,16:59:19,3,260
17/11/2023,7:28:34,2,287
22/09/2023,18:16:18,1,167
06/07/2024,12:24:48,4,498
02/02/2023,19:55:47,3,359
13/09/2024,12:18:07,4,238
12/11/2024,5:57:36,2,349
11/10/2023,15:41:16,1,185
16/03/2023,10:50:51,1,494
25/06/2024,19:18:05,1,156
03/06/2022,10:51:15,1,334
03/12/2023,16:26:56,3,41
03/10/2024,8:10:49,3,334
17/06/2024,18:19:53,4,459
23/12/2022,12:45:38,3,421
25/01/2023,19:41:59,2,35
10/06/2023,18:04:07,2,551
17/08/2024,16:54:43,2,541
21/02/2022,16:04:47,3,345
20/02/2022,20:35:10,1,148
27/11/2023,14:57:07,3,274
01/04/2022,6:53:12,3,18
31/12/2023,17:16:25,1,231
16/01/2022,9:24:40,1,54
28/01/2023,11:49:26,1,261
04/06/2024,14:44:59,4,515
23/02/2024,13:16:19,4,545
19/02/2023,11:03:31,4,237
07/01/2023,8:15:00,3,139
22/11/2023,11:03:56,4,343
04/01/2024,11:06:22,3,211
13/08/2024,16:03:11,3,344
10/05/2023,17:57:25,1,471
04/09/2023,9:21:09,2,194
30/03/2023,14:19:01,2,159
17/08/2024,12:07:58,4,432
01/10/2023,14:52:21,3,438
20/09/2023,17:43:55,1,241
11/01/2022,17:56:39,4,263
02/09/2023,17:05:20,3,539
20/11/2022,17:15:04,1,223
15/10/2022,11:21:34,3,253
19/08/2024,10:25:17,2,60
23/03/2024,19:56:37,1,41
22/01/2024,15:29:48,1,234
02/07/2023,19:04:08,3,124
15/03/2023,10:19:08,2,117
20/08/2024,14:45:44,2,537
28/09/2022,14:29:06,2,495
23/05/2023,11:05:03,3,64
13/06/2024,13:02:43,1,406
02/03/2024,17:34:50,1,57
18/11/2023,12:14:39,2,207
22/06/2024,17:57:40,4,281
01/09/2022,17:45:40,3,52
04/03/2023,7:36:04,4,391
19/07/2023,19:37:21,2,159
12/04/2023,13:30:13,1,315
14/02/2022,13:59:39,1,75
23/10/2022,13:45:12,1,493
14/08/2022,9:26:18,2,370
09/04/2022,7:48:45,1,32
23/09/2024,17:34:06,1,475
25/04/2023,20:34:49,2,380
11/11/2023,15:27:32,1,549
25/04/2024,13:30:14,3,449
21/11/2022,12:52:05,2,555
09/02/2022,13:09:23,1,36
12/11/2024,16:51:14,3,441
03/04/2023,12:08:50,2,578
22/03/2022,11:04:20,4,235
20/05/2023,16:52:07,3,154
31/10/2022,17:50:09,4,304
06/01/2024,16:32:52,1,172
14/02/2022,17:08:53,2,570
18/06/2023,14:21:11,3,53
01/05/2022,13:08:27,1,355
31/12/2024,16:57:17,1,311
19/09/2024,3:55:17,1,42
21/03/2023,15:23:54,3,454
06/03/2024,14:59:41,3,441
25/08/2022,22:43:22,3,426
16/10/2023,17:35:00,4,325
04/01/2023,15:34:02,1,177
29/06/2024,11:28:02,1,361
02/05/2024,12:03:51,1,150
01/08/2022,7:34:17,1,263
06/01/2023,11:56:15,3,86
07/03/2023,15:59:47,3,578
02/12/2023,11:04:32,3,590
04/07/2023,17:53:25,1,543
22/02/2024,10:39:52,4,257
14/07/2022,17:55:42,2,195
04/10/2024,14:47:33,3,16
24/10/2024,18:20:52,1,259
14/12/2024,17:30:22,1,554
24/09/2023,16:19:46,1,265
11/06/2024,16:55:41,4,588
27/03/2022,14:19:07,2,9
03/08/2022,6:35:40,2,202
23/03/2024,8:58:08,3,534
20/03/2024,6:25:24,2,217
05/04/2023,14:26:05,2,123
28/01/2022,13:00:33,1,191
12/03/2023,8:49:09,2,122
13/06/2022,8:22:15,1,248
25/10/2023,13:35:57,2,250
24/12/2023,17:29:28,1,17
27/06/2024,10:53:03,4,182
16/09/2024,14:59:13,1,297
08/11/2024,23:30:12,1,530
25/09/2022,7:07:16,1,108
23/02/2022,10:03:06,1,372
19/06/2023,13:19:10,2,156
03/09/2022,15:41:36,3,372
06/04/2022,13:21:23,1,453
13/05/2023,18:50:54,1,521
15/08/2022,10:05:32,3,594
28/05/2024,4:00:37,2,466
21/07/2022,21:44:12,1,524
04/01/2024,9:45:36,2,600
26/09/2024,17:56:21,1,9
12/10/2023,14:19:17,1,6
08/07/2023,13:20:19,4,558
20/12/2022,12:17:09,4,365
27/06/2024,7:31:59,4,21
21/09/2022,13:16:11,4,492
01/08/2024,17:13:13,2,513
18/03/2023,15:02:16,3,199
13/11/2024,11:07:07,3,195
03/11/2023,14:40:58,1,262
07/06/2022,8:43:12,3,197
28/06/2023,8:11:47,1,464
08/11/2023,16:58:04,3,239
07/10/2022,12:27:38,2,586
24/03/2022,13:22:35,1,392
20/09/2024,13:48:36,2,586
30/08/2022,18:05:35,4,439
03/05/2022,8:07:08,1,245
26/12/2023,22:29:41,1,247
24/09/2024,9:26:16,1,422
06/03/2023,6:50:43,3,85
16/07/2023,10:09:21,2,464
06/08/2022,12:48:18,2,253
23/01/2024,7:40:45,1,121
06/03/2023,17:31:27,3,214
03/07/2023,8:02:23,3,554
09/05/2022,12:02:56,1,441
17/04/2024,13:40:51,1,508
26/11/2022,16:52:42,1,312
31/05/2022,9:42:51,3,523
02/11/2022,23:49:38,4,215
23/02/2022,14:39:41,4,571
11/06/2022,15:52:52,1,137
10/11/2024,13:28:56,2,436
27/04/2024,11:20:56,1,127
23/02/2024,13:11:08,4,543
19/12/2022,9:51:54,3,79
16/02/2022,6:51:56,1,224
02/02/2024,15:08:06,1,110
01/01/2022,15:24:48,3,417
19/03/2022,10:56:49,1,339
20/07/2024,15:12:06,4,140
27/03/2022,10:32:45,2,56
07/11/2022,15:15:38,1,471
29/04/2023,16:32:18,1,332
17/04/2022,13:50:57,1,559
28/09/2022,14:40:07,2,225
26/08/2024,9:05:05,3,171
03/11/2023,11:49:04,3,597
22/07/2023,10:26:00,1,20
10/03/2023,11:12:58,1,153
25/07/2022,13:35:26,1,519
18/12/2022,6:16:00,3,539
28/02/2022,10:20:35,1,599
27/03/2024,10:34:09,4,33
23/06/2024,17:41:34,1,3
27/12/2022,16:05:47,2,242
30/10/2022,10:40:05,1,102
10/06/2023,19:05:56,3,58
04/04/2024,15:13:23,2,346
08/03/2023,13:44:27,2,75
29/01/2022,11:28:22,2,108
27/10/2024,10:05:06,2,562
31/12/2023,14:53:37,1,107
23/11/2024,12:28:23,2,412
08/06/2022,22:18:53,1,71
06/07/2024,11:47:42,1,518
15/04/2024,10:38:07,2,13
28/11/2023,10:40:55,2,171
16/05/2022,10:55:03,4,294
17/07/2023,15:58:14,3,382
21/10/2022,2:16:42,4,73
19/08/2022,17:34:12,2,202
12/05/2024,12:16:24,2,225
04/07/2022,16:11:22,3,366
09/09/2024,13:12:46,3,396
06/07/2024,16:38:46,1,562
20/07/2024,19:43:40,2,496
15/04/2023,13:11:53,1,542
08/05/2023,8:54:11,1,202
08/09/2024,23:12:01,3,423
13/05/2023,14:23:48,2,234
19/04/2024,17:11:59,3,332
18/04/2023,11:25:10,2,330
20/04/2023,6:48:03,1,162
04/10/2022,13:58:48,1,297
23/08/2022,20:38:42,1,538
26/01/2022,16:45:25,1,280
31/05/2024,10:16:39,1,311
30/08/2023,13:37:11,3,128
07/05/2022,11:40:00,1,292
22/09/2023,11:58:49,3,536
13/03/2024,13:37:41,3,178
20/03/2024,17:56:24,1,530
02/11/2023,19:54:30,2,193
02/02/2023,12:49:30,2,284
04/05/2023,7:56:57,4,274
02/09/2023,11:47:30,3,370
02/01/2022,15:18:13,4,553
15/08/2022,9:30:02,1,363
10/12/2024,17:37:45,3,59
03/11/2023,6:04:21,3,552
22/12/2023,21:12:29,2,355
27/02/2023,11:18:02,1,11
17/12/2022,6:33:36,3,386
08/01/2024,15:59:47,3,187
04/11/2023,11:27:33,3,599
21/02/2024,15:44:18,1,49
25/12/2023,19:09:42,4,386
23/06/2022,23:38:26,1,551
05/08/2023,10:01:05,3,147
16/12/2024,6:14:49,4,188
02/11/2023,14:15:26,3,283
01/11/2024,8:10:39,2,18
11/05/2022,14:09:08,3,52
04/01/2024,6:04:04,1,516
20/05/2022,15:19:05,1,312
15/05/2024,13:27:32,1,337
17/09/2022,15:53:44,2,307
06/02/2023,23:41:31,2,588
12/07/2023,19:16:13,1,85
03/03/2022,18:09:15,1,31
02/10/2023,6:04:02,3,368
26/11/2024,13:05:27,2,558
07/09/2024,22:41:56,2,94
27/04/2022,10:02:01,2,478
18/08/2024,9:44:42,1,390
09/05/2023,12:44:06,3,567
15/03/2022,16:11:15,1,515
07/08/2022,11:18:43,1,521
17/07/2024,15:26:46,1,354
09/03/2023,15:13:53,1,43
25/06/2023,9:52:07,3,137
20/05/2022,17:27:54,2,376
27/06/2022,12:28:12,1,23
25/02/2023,8:22:19,1,181
25/01/2023,11:48:14,1,72
21/06/2024,7:29:42,3,343
22/12/2023,13:22:29,1,436
21/11/2024,18:33:20,3,431
07/12/2024,15:30:11,4,298
08/09/2023,10:04:06,1,455
27/02/2023,16:40:36,1,488
06/07/2023,17:20:15,3,14
15/10/2023,17:29:38,1,391
16/05/2024,10:59:15,1,35
16/02/2023,9:46:19,1,205
11/12/2023,15:53:38,1,496
20/10/2024,13:33:14,3,537
13/02/2023,12:22:48,2,362
09/03/2023,10:59:31,1,433
11/10/2023,14:58:22,1,78
29/12/2024,8:08:58,1,312
19/11/2023,10:03:46,1,239
02/08/2024,8:44:35,1,232
19/04/2023,13:44:32,1,169
15/08/2024,13:30:29,1,232
05/06/2022,19:39:52,4,364
01/02/2024,14:10:28,4,36
06/03/2024,12:26:19,1,176
09/02/2024,21:53:29,2,175
06/01/2023,14:14:16,1,236
06/03/2023,13:10:56,1,398
02/11/2023,15:57:02,2,358
05/10/2024,11:01:43,3,10
27/05/2022,14:13:36,2,107
03/12/2023,19:37:53,1,213
07/08/2022,13:03:10,3,181
25/11/2024,15:45:29,4,258
15/06/2024,9:40:05,1,291
27/12/2022,13:32:34,1,244
01/05/2022,9:08:19,2,7
20/08/2023,18:09:58,1,310
18/03/2022,15:26:21,1,455
09/07/2023,17:35:01,1,200
25/01/2022,14:52:44,4,36
08/01/2022,8:33:00,2,290
24/01/2024,11:22:28,1,195
14/10/2024,15:21:40,3,57
02/05/2023,20:15:15,2,512
03/07/2023,15:25:15,2,526
07/08/2022,12:41:41,1,270
03/03/2022,12:17:32,1,32
12/06/2024,12:08:47,1,333
10/10/2024,21:32:13,1,503
03/07/2024,16:01:04,2,61
13/07/2023,10:32:06,3,484
05/11/2022,11:33:21,1,156
03/11/2024,15:20:15,1,269
11/08/2024,17:08:00,1,583
27/04/2024,13:46:52,1,579
08/09/2024,13:54:45,1,262
03/07/2023,9:27:49,3,81
14/01/2024,16:39:45,1,94
10/01/2024,17:05:37,3,421
24/02/2024,13:25:14,3,596
09/06/2024,13:15:12,3,170
17/10/2023,16:29:01,2,371
25/06/2022,12:56:27,3,49
01/07/2023,15:36:28,1,300
19/09/2024,7:33:28,1,551
21/03/2024,12:21:59,3,121
10/02/2024,19:42:10,3,576
23/07/2024,12:02:53,1,556
30/12/2024,8:52:04,1,332
06/02/2023,9:05:40,1,177
17/08/2022,14:24:14,2,489
28/01/2024,10:01:32,1,551
29/10/2022,9:10:46,1,315
13/04/2022,16:03:35,2,482
18/08/2024,16:43:39,1,490
31/12/2022,8:02:05,1,25
24/10/2024,13:20:06,1,254
26/01/2022,17:46:15,3,185
22/06/2023,18:59:16,3,519
26/01/2024,20:50:13,1,382
07/11/2022,17:42:05,1,238
12/11/2022,10:25:00,2,191
26/10/2022,12:23:51,1,182
05/01/2023,8:03:50,1,579
25/09/2023,16:07:10,1,72
17/06/2024,14:36:34,2,240
02/10/2022,18:43:43,2,259
29/10/2024,13:15:40,1,54
30/05/2023,9:52:23,1,335
20/02/2023,14:46:54,3,500
21/03/2023,17:24:26,1,474
15/07/2024,14:50:34,1,184
02/05/2022,12:34:56,3,591
12/12/2024,11:37:54,1,344
24/11/2022,12:32:27,3,527
08/01/2022,15:41:34,3,155
25/12/2023,11:44:07,2,49
09/05/2023,18:18:29,1,339
21/05/2023,19:22:02,1,339
05/12/2023,22:46:48,1,266
06/06/2023,15:52:05,2,100
10/11/2024,18:24:55,2,252
02/07/2022,12:51:06,1,478
27/03/2022,17:22:32,1,451
26/10/2024,15:15:06,2,254
14/11/2024,20:07:45,1,407
01/10/2024,16:13:25,1,493
19/07/2022,14:18:32,3,527
17/09/2023,11:57:10,4,600
21/07/2024,18:31:38,1,378
23/12/2024,16:26:23,1,293
09/10/2023,16:55:51,2,589
11/04/2024,16:55:09,1,367
11/06/2024,17:01:29,1,264
09/07/2022,13:53:33,2,283
30/12/2022,12:56:36,3,241
11/06/2022,16:33:14,1,312
02/03/2023,13:27:51,1,549
30/11/2023,10:57:50,2,296
04/10/2024,16:57:54,1,550
29/01/2022,21:22:50,1,331
29/07/2023,11:42:40,1,266
12/08/2023,14:17:36,4,249
03/07/2023,9:22:17,1,346
13/12/2022,17:55:53,1,385
13/12/2024,12:01:45,2,591
21/09/2022,15:48:17,1,529
11/02/2023,3:17:23,2,476
21/12/2023,17:15:46,1,474
23/04/2023,11:46:09,1,248
21/01/2024,14:38:25,1,522
05/03/2022,10:23:52,1,64
19/03/2023,17:42:19,1,13
14/12/2023,14:15:47,1,313
01/01/2022,11:05:21,1,199
02/02/2023,13:09:24,4,292
04/07/2023,10:09:58,1,472
24/07/2023,13:38:15,1,325
16/10/2023,15:01:38,1,57
18/07/2023,9:50:20,1,77
10/07/2024,13:33:10,1,572
03/03/2023,11:39:15,2,421
06/06/2023,10:50:42,3,504
02/06/2023,15:41:48,1,310
05/08/2023,13:01:55,2,8
28/06/2023,12:42:22,1,272
28/01/2023,10:18:57,3,220
09/05/2024,13:26:13,1,318
20/11/2022,8:41:21,1,507
29/08/2023,13:28:52,1,557
20/02/2022,13:45:13,4,234
19/07/2022,12:24:20,1,213
18/11/2023,16:36:42,1,157
04/12/2022,18:07:13,3,421
23/06/2022,15:40:27,1,446
23/05/2023,12:04:02,1,361
24/08/2023,13:29:38,1,79
01/08/2022,12:37:32,4,538
26/08/2024,9:48:59,3,352
09/10/2024,21:48:11,1,376
01/11/2024,23:01:28,4,184
22/08/2024,12:05:43,1,309
17/05/2024,12:33:10,1,24
03/10/2024,15:50:24,1,111
03/11/2022,15:01:21,3,598
25/04/2022,7:27:37,2,498
25/12/2022,21:04:48,1,436
08/06/2024,8:52:01,1,72
17/07/2022,12:33:09,2,210
07/11/2022,12:34:45,3,280
24/04/2023,15:28:22,3,438
22/06/2022,11:20:49,3,426
31/07/2022,13:55:01,1,258
16/09/2024,15:47:23,3,257
31/10/2022,22:40:18,3,585
17/05/2023,15:49:10,1,516
22/02/2023,7:00:08,1,186
24/07/2024,14:10:06,1,17
19/11/2023,9:28:01,1,24
09/02/2022,10:43:26,1,537
14/10/2024,15:46:05,3,455
29/07/2022,17:25:47,1,229
17/07/2023,12:02:11,3,123
10/05/2024,13:23:38,1,134
06/05/2024,21:56:44,1,167
21/05/2024,17:30:14,3,234
28/10/2023,2:44:04,2,576
18/05/2022,11:32:52,2,448
27/01/2023,12:40:11,3,488
06/05/2024,13:59:56,2,21
04/10/2023,11:59:59,2,420
28/08/2024,10:00:35,1,442
19/03/2024,21:49:50,2,16
20/04/2024,8:47:12,2,261
13/09/2023,14:44:51,1,310
02/06/2024,10:36:59,2,152
11/04/2024,11:04:26,1,590
05/10/2023,17:22:06,3,431
05/03/2023,12:52:15,1,37
12/03/2024,20:57:12,2,298
03/08/2023,14:46:03,1,331
09/11/2022,8:04:16,3,3
01/08/2024,11:12:07,1,132
12/01/2022,19:12:59,3,297
23/03/2023,17:59:18,1,482
10/01/2022,7:04:54,1,352
22/07/2022,19:13:15,1,491
12/08/2022,16:48:00,1,153
05/09/2024,8:45:47,1,281
03/05/2023,20:53:06,1,72
08/03/2023,14:49:38,2,578
29/04/2023,9:05:27,1,35
23/05/2022,15:12:52,2,100
15/09/2023,15:56:56,4,125
28/02/2024,6:16:53,3,309
30/01/2023,12:35:01,3,490
31/08/2022,17:52:47,1,267
02/12/2022,11:47:53,4,33
22/01/2023,17:57:00,2,179
12/05/2022,20:52:58,1,70
30/03/2024,11:21:39,2,371
21/05/2024,14:21:32,3,126
21/02/2024,19:56:32,1,224
11/03/2024,14:16:56,2,451
07/07/2024,9:13:17,3,219
24/02/2022,13:03:24,1,460
22/11/2022,14:27:50,4,312
30/08/2022,13:28:02,2,464
23/12/2022,13:28:44,1,156
17/02/2024,12:30:17,2,238
26/04/2023,16:08:22,3,361
29/02/2024,11:39:46,1,475
01/06/2024,15:28:25,1,105
08/07/2024,15:10:49,2,600
29/11/2022,19:27:39,3,245
18/07/2024,14:38:34,1,600
08/07/2022,20:47:25,1,2
02/10/2024,16:04:53,1,560
14/02/2022,9:40:03,1,139
20/03/2024,10:08:02,1,279
07/01/2023,14:40:54,1,504
09/10/2022,12:43:49,3,325
11/07/2024,11:19:05,1,490
12/10/2024,17:18:38,1,573
25/01/2022,14:07:18,3,73
24/03/2023,5:44:05,1,29
02/10/2022,14:57:26,2,434
03/03/2023,20:17:19,2,207
17/12/2023,13:46:27,3,520
18/08/2024,14:31:24,2,307
13/10/2023,9:25:37,1,80
06/08/2024,8:18:13,3,144
19/04/2024,18:16:48,3,178
31/03/2024,0:18:30,3,485
05/02/2022,12:20:40,2,213
30/01/2022,13:54:41,1,217
11/11/2022,19:22:22,1,346
20/02/2023,11:28:17,3,331
07/01/2022,12:41:26,1,125
25/02/2023,18:31:07,1,201
28/07/2022,17:36:36,3,248
24/07/2023,10:03:50,2,353
14/03/2022,15:59:33,1,109
25/10/2023,14:17:39,2,565
04/03/2024,18:19:47,4,323
20/11/2023,12:13:56,3,274
17/07/2023,13:10:16,3,204
21/08/2022,17:59:18,3,444
